,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,Cluster
246,0,2,2,0,0,6,4,2,2,1,0,0,0,0,0,0,2
247,0,2,2,0,0,7,5,2,2,1,1,0,0,0,0,0,2
248,0,2,2,0,0,7,3,2,2,0,0,0,0,0,0,0,2
249,0,2,2,0,0,7,7,2,1,1,0,0,0,0,0,0,2
250,0,2,2,0,0,7,2,3,3,1,2,0,0,0,0,0,2
251,0,2,2,0,0,7,3,3,3,1,0,0,0,0,0,0,2
252,0,2,5,1,0,10,3,1,1,1,0,0,0,0,0,0,3
253,0,3,5,1,0,12,4,1,1,1,0,0,0,0,0,0,3
254,0,3,5,1,0,9,3,1,2,1,0,0,0,0,0,0,1
255,0,2,6,0,0,5,3,1,1,1,0,0,0,0,0,0,1
256,0,2,5,0,0,5,3,1,2,1,0,0,0,0,0,0,1
257,0,2,5,0,0,7,3,1,2,1,0,0,0,0,0,0,1
258,0,3,5,1,0,7,3,1,1,1,0,0,0,0,0,0,1
259,1,2,6,0,0,7,4,2,2,1,0,0,0,0,0,0,1
260,0,3,2,1,0,9,3,2,1,0,1,0,0,0,0,0,2
261,0,2,6,0,0,7,4,2,2,1,1,0,0,0,0,0,1
262,0,1,6,0,0,6,2,3,3,1,0,0,0,0,0,0,1
263,0,2,2,0,0,12,3,2,2,1,0,0,0,0,0,0,3
264,1,3,2,0,0,10,3,2,1,1,0,0,0,0,0,0,3
265,1,1,2,0,0,6,2,2,2,1,2,0,0,0,0,0,2
266,0,2,6,0,0,8,3,1,2,2,0,0,0,0,0,0,1
267,1,3,5,1,0,9,3,1,1,0,0,0,0,0,0,0,1
268,0,2,3,0,0,7,3,2,1,1,0,0,0,0,0,0,2
269,1,1,2,0,0,6,3,2,2,1,0,0,0,0,0,0,2
270,0,1,5,0,0,7,2,2,3,1,0,0,0,0,0,0,1
271,0,3,2,1,0,9,4,2,2,1,0,0,0,0,0,0,2
272,0,2,2,0,0,7,5,2,2,1,0,0,0,0,0,0,2
273,0,2,2,0,0,7,4,1,1,0,0,0,0,0,0,0,2
274,0,2,2,0,0,8,2,1,2,1,0,0,0,0,0,0,2
275,0,2,2,0,0,1,3,1,2,1,0,0,0,0,0,0,2
276,0,2,2,0,0,11,3,2,2,1,0,0,0,0,0,0,3
277,0,2,2,0,0,9,4,2,2,1,0,0,0,0,0,0,2
278,0,2,6,0,0,8,4,2,2,1,0,0,0,0,0,0,1
